State of Residence,State of Residence Code,Age of Mother 9,Age of Mother 9 Code,Mother's Education,Mother's Education Code,Year,Year Code,Births,% of Total Births,Average Age of Mother (years),Standard Deviation for Average Age of Mother
Alabama,1,Under 15 years,15,8th grade or less,1,2018,2018,25,0.00%,13.8,0.4
Alabama,1,Under 15 years,15,8th grade or less,1,2019,2019,32,0.00%,13.56,0.61
Alabama,1,Under 15 years,15,8th grade or less,1,2020,2020,33,0.00%,13.79,0.41
Alabama,1,Under 15 years,15,8th grade or less,1,2021,2021,36,0.00%,13.64,0.58
Alabama,1,Under 15 years,15,8th grade or less,1,2022,2022,27,0.00%,13.63,0.48
Alabama,1,Under 15 years,15,8th grade or less,1,2023,2023,32,0.00%,13.75,0.56
Alabama,1,Under 15 years,15,9th through 12th grade with no diploma,2,2018,2018,10,0.00%,14,0
Alabama,1,Under 15 years,15,9th through 12th grade with no diploma,2,2019,2019,12,0.00%,14,0
Alabama,1,Under 15 years,15,9th through 12th grade with no diploma,2,2020,2020,11,0.00%,14,0
Alabama,1,Under 15 years,15,9th through 12th grade with no diploma,2,2021,2021,12,0.00%,13.92,0.28
Alabama,1,Under 15 years,15,9th through 12th grade with no diploma,2,2022,2022,12,0.00%,14,0
Alabama,1,Under 15 years,15,9th through 12th grade with no diploma,2,2023,2023,10,0.00%,14,0
Alabama,1,15-19 years,15-19,8th grade or less,1,2018,2018,86,0.00%,17.02,1.5
Alabama,1,15-19 years,15-19,8th grade or less,1,2019,2019,120,0.00%,17.09,1.47
Alabama,1,15-19 years,15-19,8th grade or less,1,2020,2020,102,0.00%,16.64,1.43
Alabama,1,15-19 years,15-19,8th grade or less,1,2021,2021,102,0.00%,16.63,1.53
Alabama,1,15-19 years,15-19,8th grade or less,1,2022,2022,99,0.00%,16.41,1.35
Alabama,1,15-19 years,15-19,8th grade or less,1,2023,2023,87,0.00%,16.85,1.57
Alabama,1,15-19 years,15-19,9th through 12th grade with no diploma,2,2018,2018,1480,0.01%,17.49,1.15
Alabama,1,15-19 years,15-19,9th through 12th grade with no diploma,2,2019,2019,1392,0.01%,17.5,1.14
Alabama,1,15-19 years,15-19,9th through 12th grade with no diploma,2,2020,2020,1326,0.01%,17.5,1.17
Alabama,1,15-19 years,15-19,9th through 12th grade with no diploma,2,2021,2021,1313,0.01%,17.43,1.18
Alabama,1,15-19 years,15-19,9th through 12th grade with no diploma,2,2022,2022,1186,0.01%,17.4,1.2
Alabama,1,15-19 years,15-19,9th through 12th grade with no diploma,2,2023,2023,1131,0.01%,17.41,1.19
Alabama,1,15-19 years,15-19,High school graduate or GED completed,3,2018,2018,1682,0.01%,18.56,0.61
Alabama,1,15-19 years,15-19,High school graduate or GED completed,3,2019,2019,1747,0.01%,18.54,0.63
Alabama,1,15-19 years,15-19,High school graduate or GED completed,3,2020,2020,1709,0.01%,18.54,0.62
Alabama,1,15-19 years,15-19,High school graduate or GED completed,3,2021,2021,1643,0.01%,18.58,0.59
Alabama,1,15-19 years,15-19,High school graduate or GED completed,3,2022,2022,1556,0.01%,18.57,0.61
Alabama,1,15-19 years,15-19,High school graduate or GED completed,3,2023,2023,1491,0.01%,18.56,0.63
Alabama,1,15-19 years,15-19,"Some college credit, but not a degree",4,2018,2018,375,0.00%,18.84,0.39
Alabama,1,15-19 years,15-19,"Some college credit, but not a degree",4,2019,2019,392,0.00%,18.81,0.41
Alabama,1,15-19 years,15-19,"Some college credit, but not a degree",4,2020,2020,303,0.00%,18.83,0.38
Alabama,1,15-19 years,15-19,"Some college credit, but not a degree",4,2021,2021,249,0.00%,18.84,0.4
Alabama,1,15-19 years,15-19,"Some college credit, but not a degree",4,2022,2022,207,0.00%,18.8,0.43
Alabama,1,15-19 years,15-19,"Some college credit, but not a degree",4,2023,2023,223,0.00%,18.79,0.46
Alabama,1,15-19 years,15-19,"Associate degree (AA, AS)",5,2018,2018,18,0.00%,18.89,0.31
Alabama,1,15-19 years,15-19,"Associate degree (AA, AS)",5,2019,2019,17,0.00%,18.94,0.24
Alabama,1,15-19 years,15-19,"Associate degree (AA, AS)",5,2021,2021,13,0.00%,18.85,0.36
Alabama,1,15-19 years,15-19,"Associate degree (AA, AS)",5,2023,2023,10,0.00%,18.9,0.3
Alabama,1,15-19 years,15-19,Unknown or Not Stated,Unk,2022,2022,12,0.00%,17.42,1.5
Alabama,1,15-19 years,15-19,Unknown or Not Stated,Unk,2023,2023,14,0.00%,17,1.25
Alabama,1,20-24 years,20-24,8th grade or less,1,2018,2018,108,0.00%,21.97,1.49
Alabama,1,20-24 years,20-24,8th grade or less,1,2019,2019,149,0.00%,22.09,1.41
