State of Residence,State of Residence Code,Age of Mother 9,Age of Mother 9 Code,Mother's Education,Mother's Education Code,Gestational Diabetes,Gestational Diabetes Code,Births,Average Age of Mother (years),Average OE Gestational Age (weeks),Average Birth Weight (grams),Average Pre-pregnancy BMI,Average Number of Prenatal Visits,Average Interval Since Last Other Pregnancy Outcome (months)
Alabama,1,Under 15 years,15,8th grade or less,1,No,2,24,13.5,37,2875.92,23.69,6.43,Not Applicable
Alabama,1,Under 15 years,15,9th through 12th grade with no diploma,2,No,2,10,14,37.8,3020.9,24.29,5.4,Not Applicable
Alabama,1,15-19 years,15-19,8th grade or less,1,No,2,101,16.73,38.33,3113.94,24.98,8.55,18.57
Alabama,1,15-19 years,15-19,9th through 12th grade with no diploma,2,Yes,1,33,17.73,37.73,3269.67,29.58,9.21,16
Alabama,1,15-19 years,15-19,9th through 12th grade with no diploma,2,No,2,1016,17.34,38.09,3034.73,25.2,9.32,24.79
Alabama,1,15-19 years,15-19,High school graduate or GED completed,3,Yes,1,44,18.55,37.82,3291.23,29.36,11.2,27.67
Alabama,1,15-19 years,15-19,High school graduate or GED completed,3,No,2,1385,18.5,38.11,3072.79,26.15,10.12,18.93
Alabama,1,15-19 years,15-19,"Some college credit, but not a degree",4,No,2,191,18.85,38.17,3057.14,27.41,10.08,23.75
Alabama,1,20-24 years,20-24,8th grade or less,1,No,2,93,21.61,38.22,3151.7,27.78,9.14,32.75
Alabama,1,20-24 years,20-24,9th through 12th grade with no diploma,2,Yes,1,37,22.19,37.62,3062.95,30.89,9.46,20.83
Alabama,1,20-24 years,20-24,9th through 12th grade with no diploma,2,No,2,1058,21.9,37.97,3095.65,28.04,9.14,33.97
Alabama,1,20-24 years,20-24,High school graduate or GED completed,3,Yes,1,267,22.39,37.7,3246.28,32.82,11.79,27.19
Alabama,1,20-24 years,20-24,High school graduate or GED completed,3,No,2,6278,22.07,38.06,3119.56,28.64,10.18,29.48
