State,State Code,Age of Mother 9,Age of Mother 9 Code,Mother's Education,Mother's Education Code,Delivery Method,Delivery Method Code,Deaths,Births,Death Rate Raw,Death Rate Fx,Death Rate Clean
Alabama,1,15-19 years,15-19,9th through 12th grade with no diploma,2,Vaginal,1,63,6149,10.25,10.25,10.25
Alabama,1,15-19 years,15-19,9th through 12th grade with no diploma,2,Cesarean,2,28,1679,16.68,16.68,16.68
Alabama,1,15-19 years,15-19,High school graduate or GED completed,3,Vaginal,1,47,7547,6.23,6.23,6.23
Alabama,1,15-19 years,15-19,High school graduate or GED completed,3,Cesarean,2,32,2281,14.03,14.03,14.03
Alabama,1,15-19 years,15-19,"Some college credit, but not a degree",4,Vaginal,1,12,1380,8.70 (Unreliable),8.7,8.7
Alabama,1,20-24 years,20-24,9th through 12th grade with no diploma,2,Vaginal,1,51,5972,8.54,8.54,8.54
Alabama,1,20-24 years,20-24,9th through 12th grade with no diploma,2,Cesarean,2,46,2724,16.89,16.89,16.89
Alabama,1,20-24 years,20-24,High school graduate or GED completed,3,Vaginal,1,234,29123,8.03,8.03,8.03
Alabama,1,20-24 years,20-24,High school graduate or GED completed,3,Cesarean,2,144,12807,11.24,11.24,11.24
Alabama,1,20-24 years,20-24,"Some college credit, but not a degree",4,Vaginal,1,104,14192,7.33,7.33,7.33
Alabama,1,20-24 years,20-24,"Some college credit, but not a degree",4,Cesarean,2,53,6088,8.71,8.71,8.71
Alabama,1,20-24 years,20-24,"Associate degree (AA, AS)",5,Vaginal,1,10,3473,2.88 (Unreliable),2.88,2.88
Alabama,1,20-24 years,20-24,"Associate degree (AA, AS)",5,Cesarean,2,10,1528,6.54 (Unreliable),6.54,6.54
Alabama,1,20-24 years,20-24,"Bachelor's degree (BA, AB, BS)",6,Vaginal,1,19,2894,6.57 (Unreliable),6.57,6.57
Alabama,1,20-24 years,20-24,"Bachelor's degree (BA, AB, BS)",6,Cesarean,2,13,1134,11.46 (Unreliable),11.46,11.46
Alabama,1,25-29 years,25-29,9th through 12th grade with no diploma,2,Vaginal,1,38,4005,9.49,9.49,9.49
Alabama,1,25-29 years,25-29,9th through 12th grade with no diploma,2,Cesarean,2,26,2359,11.02,11.02,11.02
Alabama,1,25-29 years,25-29,High school graduate or GED completed,3,Vaginal,1,165,20051,8.23,8.23,8.23
Alabama,1,25-29 years,25-29,High school graduate or GED completed,3,Cesarean,2,116,11788,9.84,9.84,9.84
Alabama,1,25-29 years,25-29,"Some college credit, but not a degree",4,Vaginal,1,92,14618,6.29,6.29,6.29
Alabama,1,25-29 years,25-29,"Some college credit, but not a degree",4,Cesarean,2,71,8486,8.37,8.37,8.37
Alabama,1,25-29 years,25-29,"Associate degree (AA, AS)",5,Vaginal,1,29,7521,3.86,3.86,3.86
Alabama,1,25-29 years,25-29,"Associate degree (AA, AS)",5,Cesarean,2,28,4028,6.95,6.95,6.95
Alabama,1,25-29 years,25-29,"Bachelor's degree (BA, AB, BS)",6,Vaginal,1,33,12900,2.56,2.56,2.56
Alabama,1,25-29 years,25-29,"Bachelor's degree (BA, AB, BS)",6,Cesarean,2,32,5976,5.35,5.35,5.35
Alabama,1,25-29 years,25-29,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Vaginal,1,16,4509,3.55 (Unreliable),3.55,3.55
Alabama,1,25-29 years,25-29,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Cesarean,2,14,2036,6.88 (Unreliable),6.88,6.88
Alabama,1,30-34 years,30-34,9th through 12th grade with no diploma,2,Vaginal,1,16,2100,7.62 (Unreliable),7.62,7.62
Alabama,1,30-34 years,30-34,9th through 12th grade with no diploma,2,Cesarean,2,22,1604,13.72,13.72,13.72
Alabama,1,30-34 years,30-34,High school graduate or GED completed,3,Vaginal,1,78,9170,8.51,8.51,8.51
